,txt,matter,citations
0,réu alega culpa da vítima porém conduziu o veículo de modo imprudente e provocando o acidente,[3632],"['lei+9503+1997!art302', 'lei+9503+1997!art303']"
1,Paciente alega identidade civil comprovada estar empregado e bons antecedentes porém é acusado de crime de roubo qualificado representando risco a ordem pública,"[4355, 3419]","['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art157', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art157_par2', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313_par1']"
2,Paciente alega que a medida fere presunção de sua inocência,[4355],['urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313']
3,homicídio tentado e evasão do autor demostra a presença do periculum libertatis,[4355],"['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art121_par2', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art14']"
4,menoridade pode ser comprovada por outros documentos que não o de identidade,[5566],['lei+8069+1990!art244']
5,paciente alega coação ilegal por excesso de prazo para conclusão da instrução criminal,[4355],"['lei+11343+2006!art33_caput', 'lei+11343+2006!art33']"
6,"testemunhas atestam que o réu tinha sinais claros de alcoolemia, com andar cambaleante, olhos vermelhos, andar trôpego e hálito com odor etílico",[3632],"['lei+8069+1990!art244, ‘urn:lex:br:federal:lei:1997-09-23;9503!art306']"
7,decisão dos jurados contrariam as provas porque reconhecidas a autoria e materialidade a absolvição só poderia ter ocorrido em função do excludente de ilicitude e isso não foi parte da tese defensiva,[3372],['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art121_par2']
8,Não houve esclarecimento das contradições das decisões dos quesitos incorrendo em nulidade do julgamento,[3372],['urn:lex:br:federal:lei:1997-09-23;9503!art306_inc2_par1']
9,réu alega nulidade da sentença proferida por juiz diferente daquele que conduziu a instrução,[3632],['urn:lex:br:federal:decreto.lei:1941-10-03;3689!art399_par2']
